3,10
40,53
23,1
3,14
42,69
43,64
11,2
12,7
45,49
7,3
2,17
1,29
57,52
11,3
7,27
62,51
9,29
10,19
63,69
32,65
21,62
53,46
55,65
3,26
35,61
51,63
10,3
31,55
23,4
28,49
41,67
69,49
62,41
30,67
59,39
18,5
54,55
69,64
9,14
30,43
63,43
67,44
23,56
23,10
11,27
7,18
0,27
19,6
22,61
33,59
59,49
67,51
59,57
59,69
5,27
27,24
44,57
13,47
1,5
42,65
55,61
18,37
67,36
67,43
43,46
42,63
23,12
13,45
52,49
1,34
63,37
19,39
31,0
26,59
29,65
15,29
62,31
9,20
4,31
23,45
36,1
19,59
29,9
69,67
67,52
25,42
23,60
12,11
5,11
20,17
32,69
33,15
27,4
0,1
55,62
15,9
31,45
13,8
29,52
53,53
13,19
23,65
57,39
10,13
65,41
4,23
49,57
57,53
39,63
9,10
21,49
11,22
23,7
8,3
53,52
17,31
5,19
37,68
65,45
61,65
14,27
51,53
27,11
61,43
24,1
37,59
1,31
25,38
29,17
23,5
48,57
27,55
8,31
63,45
53,65
59,68
1,12
2,25
25,3
17,6
13,11
55,53
10,31
1,13
25,63
24,55
11,13
54,57
27,1
30,15
4,5
21,51
23,49
13,33
14,19
21,50
66,43
17,18
7,15
23,53
16,9
7,22
47,64
19,67
31,10
43,69
68,55
29,64
56,49
28,3
23,13
29,24
54,65
22,39
55,57
13,14
38,59
31,2
56,55
67,53
69,66
63,51
68,39
67,60
64,57
49,69
23,9
20,41
27,13
43,67
15,8
12,33
70,39
55,59
23,3
17,33
50,69
6,5
25,41
61,51
64,49
59,64
67,48
31,1
63,47
9,9
51,69
60,51
33,65
11,7
63,39
18,1
51,65
30,57
15,38
10,5
37,69
5,3
53,55
39,67
26,61
68,47
36,63
6,37
9,13
17,70
49,49
5,8
44,67
9,25
1,28
27,50
37,66
7,36
23,57
48,49
19,22
9,7
13,5
24,17
27,43
9,31
31,9
63,52
33,11
15,1
15,15
58,51
11,37
17,67
24,59
13,49
55,54
5,16
63,53
55,69
63,49
47,65
51,57
32,55
33,69
66,57
69,57
17,37
20,39
30,51
22,7
3,13
17,15
49,61
5,7
61,32
13,26
29,16
29,45
69,32
33,68
65,46
65,61
62,57
31,7
28,47
36,69
29,51
26,55
25,10
25,58
34,61
19,48
17,36
1,25
25,67
33,17
51,54
58,59
